hour_bucket,count
2026-05-28 13:00:00+00:00,24
2026-05-28 14:00:00+00:00,50
2026-05-28 15:00:00+00:00,44
2026-05-28 16:00:00+00:00,52
2026-05-28 17:00:00+00:00,54
2026-05-28 18:00:00+00:00,43
2026-05-28 19:00:00+00:00,49
2026-05-29 13:00:00+00:00,23
2026-05-29 14:00:00+00:00,51
2026-05-29 15:00:00+00:00,34
2026-05-29 16:00:00+00:00,35
2026-05-29 17:00:00+00:00,38
2026-05-29 18:00:00+00:00,40
2026-05-29 19:00:00+00:00,55
2026-06-01 13:00:00+00:00,28
2026-06-01 14:00:00+00:00,58
2026-06-01 15:00:00+00:00,56
2026-06-01 16:00:00+00:00,53
2026-06-01 17:00:00+00:00,51
2026-06-01 18:00:00+00:00,55
2026-06-01 19:00:00+00:00,59
2026-06-02 13:00:00+00:00,24
2026-06-02 14:00:00+00:00,46
2026-06-02 15:00:00+00:00,45
2026-06-02 16:00:00+00:00,39
2026-06-02 17:00:00+00:00,38
2026-06-02 18:00:00+00:00,44
2026-06-02 19:00:00+00:00,54
2026-06-03 13:00:00+00:00,26
2026-06-03 14:00:00+00:00,45
2026-06-03 15:00:00+00:00,42
2026-06-03 16:00:00+00:00,39
2026-06-03 17:00:00+00:00,43
2026-06-03 18:00:00+00:00,49
2026-06-03 19:00:00+00:00,58
2026-06-04 13:00:00+00:00,28
2026-06-04 14:00:00+00:00,46
2026-06-04 15:00:00+00:00,48
2026-06-04 16:00:00+00:00,31
2026-06-04 17:00:00+00:00,42
2026-06-04 18:00:00+00:00,39
2026-06-04 19:00:00+00:00,53
2026-06-05 13:00:00+00:00,24
2026-06-05 14:00:00+00:00,49
2026-06-05 15:00:00+00:00,48
2026-06-05 16:00:00+00:00,45
2026-06-05 17:00:00+00:00,36
2026-06-05 18:00:00+00:00,52
2026-06-05 19:00:00+00:00,54
